V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12
seq_21241 SWKY01000311.1 82.762 2831 392 55 201 2959 445675 448481 0 2460
seq_21241 SWKY01000311.1 84.05 2627 302 58 398 2959 445476 448050 0 2442
seq_21241 SWKY01000311.1 82.819 2817 368 60 201 2959 445579 448337 0 2438
seq_21241 SWKY01000311.1 82.907 2773 379 63 201 2926 445868 448592 0 2431
seq_21241 SWKY01000311.1 83.908 2610 318 46 398 2959 445662 448217 0 2420
seq_21241 SWKY01000311.1 83.029 2740 369 51 267 2959 445863 448553 0 2416
seq_21241 SWKY01000311.1 83.145 2741 347 57 279 2959 445412 448097 0 2414
seq_21241 SWKY01000311.1 82.633 2810 385 58 201 2959 446456 449213 0 2414
seq_21241 SWKY01000311.1 82.671 2793 391 57 201 2959 446504 449237 0 2414
seq_21241 SWKY01000311.1 84.379 2503 319 43 504 2959 445453 447930 0 2410
seq_21241 SWKY01000311.1 83.784 2627 314 51 398 2959 445590 448169 0 2409
seq_21241 SWKY01000311.1 82.711 2759 403 49 205 2926 446664 449385 0 2409
seq_21241 SWKY01000311.1 83.678 2610 347 43 398 2959 445927 448505 0 2407
seq_21241 SWKY01000311.1 83.669 2633 326 45 388 2959 445676 448265 0 2405
seq_21241 SWKY01000311.1 82.434 2818 411 56 268 3026 446212 449004 0 2405
seq_21241 SWKY01000311.1 82.531 2805 398 59 201 2959 446576 449334 0 2405
seq_21241 SWKY01000311.1 82.952 2757 355 59 271 2958 445578 448288 0 2401
seq_21241 SWKY01000311.1 82.632 2804 377 62 201 2955 446312 449054 0 2401
seq_21241 SWKY01000311.1 82.665 2792 375 58 201 2926 445964 448712 0 2398
seq_21241 SWKY01000311.1 82.48 2814 394 53 201 2959 446264 449033 0 2398
seq_21241 SWKY01000311.1 83.701 2626 318 51 398 2959 445566 448145 0 2396
seq_21241 SWKY01000311.1 84.847 2422 293 44 550 2926 445529 447921 0 2392
seq_21241 SWKY01000311.1 83.696 2576 355 37 398 2926 446275 448832 0 2390
seq_21241 SWKY01000311.1 84.31 2492 315 38 514 2959 445541 448002 0 2386
