V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12
seq_21643 SWKY01000853.1 97.39 6092 133 13 1 6090 159882 165949 0 10456
seq_21643 SWKY01000853.1 96.715 2009 46 9 3069 5072 110351 112344 0 3339
seq_21643 SWKY01000853.1 96.024 2012 43 27 3069 5072 71490 73472 0 3251
seq_21643 SWKY01000853.1 98.03 203 4 0 5232 5434 112342 112544 1.31e-94 355
seq_21643 SWKY01000853.1 97.044 203 4 2 5232 5432 73470 73672 1.02e-90 342
seq_21643 SWKY01000030.1 96.123 2889 93 10 1 2887 2184481 2187352 0 4776
seq_21643 SWKY01000030.1 97.804 2004 40 2 3069 5072 8744413 8742414 0 3467
seq_21643 SWKY01000030.1 97.804 2004 39 3 3069 5072 4331510 4333508 0 3465
seq_21643 SWKY01000030.1 97.555 2004 45 2 3069 5072 7458691 7456692 0 3439
seq_21643 SWKY01000030.1 97.211 2008 47 4 3069 5072 3211086 3213088 0 3402
seq_21643 SWKY01000030.1 96.557 2004 49 8 3069 5072 6862655 6860672 0 3314
seq_21643 SWKY01000030.1 95.792 2020 62 8 3069 5072 478465 480477 0 3251
seq_21643 SWKY01000030.1 95.21 1879 55 6 3208 5072 5562493 5564350 0 2948
seq_21643 SWKY01000030.1 96.451 1747 52 3 3069 4815 8269566 8267830 0 2887
seq_21643 SWKY01000030.1 95.746 1716 49 9 3362 5072 9477492 9475796 0 2750
seq_21643 SWKY01000030.1 95.476 1503 58 5 3570 5072 8040980 8042472 0 2399
seq_21643 SWKY01000030.1 94.894 1469 65 5 3606 5072 237945 236485 0 2298
seq_21643 SWKY01000030.1 97.49 1315 29 2 3758 5072 571596 572906 0 2248
seq_21643 SWKY01000030.1 96.148 1246 44 2 3171 4416 1641736 1642977 0 2039
seq_21643 SWKY01000030.1 94.474 1303 53 12 3779 5072 9560756 9562048 0 1995
seq_21643 SWKY01000030.1 89.774 1457 99 20 3626 5072 6474698 6476114 0 1827
seq_21643 SWKY01000030.1 94.459 1119 58 2 3073 4191 3771106 3772220 0 1731
seq_21643 SWKY01000030.1 94.459 1119 58 2 3073 4191 3901765 3902879 0 1731
seq_21643 SWKY01000030.1 92.934 1203 53 11 3223 4419 4913398 4912222 0 1729
seq_21643 SWKY01000030.1 92.568 1211 64 12 3878 5072 8211504 8212704 0 1718
seq_21643 SWKY01000030.1 93.083 1171 57 15 3905 5072 8107400 8108549 0 1696
seq_21643 SWKY01000030.1 93.433 1142 43 9 3386 4508 9479065 9477937 0 1672
